4.940491776824593728e-01,4.848246127722154464e-01,6.526037984200873110e-01
3.505570242680652315e-01,2.715135882912632637e-01,6.842194001038847118e-01
9.651571887990806342e-01,5.210942164033048885e-01,1.270532030401659851e-01
4.906643529026718520e-01,8.925237510479850922e-01,1.811920206790805787e-01
1.606915607723292672e-01,8.649637142043709037e-01,1.968693189023118517e-01
9.626807716166934092e-01,7.581729927285102422e-01,1.291863705784381811e-01
6.394834222206996488e-01,7.278163448633991894e-01,1.904381265641907905e-02
5.900867702007887017e-01,2.620449491492438110e-02,6.245759261210795943e-01
4.096718688938052466e-01,3.495850159591795681e-01,9.507508954775224508e-01
2.830095833965318164e-01,8.448292826454262272e-01,8.078310763393921068e-01
